name,enable_infra_vlan,phys_dom,l3_ext_dom,vmm_dom
AEP_POD2_VMM,no,,,POD2_ACI_dvSwitch1
AEP_POD3_VMM,no,,,POD3_ACI_dvSwitch1
AEP_POD1_VMM,no,,,POD1_ACI_dvSwitch1
AEP_POD5_VMM,no,,,POD5_ACI_dvSwitch1
AEP_POD5_VMM,no,,,POD5_ACI_dvSwitch2
AEP_POD2_L3O,no,,L3DOM_POD2,
AEP_POD2_MGMT,no,PHYSDOM_POD2_MGMT,,
AEP_POD2_PHY,no,PHYSDOM_POD2,,
AEP_POD3_L3O,no,,L3DOM_POD3,
AEP_POD3_MGMT,no,PHYSDOM_POD3_MGMT,,
AEP_POD3_PHY,no,PHYSDOM_POD3,,
AEP_MPOD,no,,L3DOM_MPOD,
AEP_POD1_L3O,no,,L3DOM_POD1,
AEP_POD1_MGMT,no,PHYSDOM_POD1_MGMT,,
AEP_POD1_PHY,no,PHYSDOM_POD1,,
AEP_POD5_L3O,no,,L3DOM_POD5,
AEP_POD5_MGMT,no,PHYSDOM_POD5_MGMT,,
AEP_POD5_PHY,no,PHYSDOM_POD5,,
