tenant,name
TEN_ADMINISTRATION,AP_POD1_ALL
TEN_ADMINISTRATION,AP_POD2_ALL
TEN_ADMINISTRATION,AP_POD5_ALL
TEN_ADMINISTRATION,AP_POD3_ALL
TEN_COUNTRY,AP_POD1_ALL
TEN_COUNTRY,AP_POD2_ALL
TEN_COUNTRY,AP_POD5_ALL
TEN_COUNTRY,AP_POD3_ALL
TEN_INET,AP_POD1_ALL
TEN_INET,AP_POD2_ALL
TEN_INET,AP_POD5_ALL
TEN_INET,AP_POD3_ALL
TEN_NONSTANDARD,AP_POD1_ALL
TEN_NONSTANDARD,AP_POD2_ALL
TEN_NONSTANDARD,AP_POD5_ALL
TEN_NONSTANDARD,AP_POD3_ALL
TEN_PROJECT,AP_POD1_ALL
TEN_PROJECT,AP_POD2_ALL
TEN_PROJECT,AP_POD5_ALL
TEN_PROJECT,AP_POD3_ALL
TEN_SHARED_SERVICES,AP_POD1_ALL
TEN_SHARED_SERVICES,AP_POD2_ALL
TEN_SHARED_SERVICES,AP_POD5_ALL
TEN_SHARED_SERVICES,AP_POD3_ALL
TEN_STANDARD_CLIENTS,AP_POD1_ALL
TEN_STANDARD_CLIENTS,AP_POD2_ALL
TEN_STANDARD_CLIENTS,AP_POD5_ALL
TEN_STANDARD_CLIENTS,AP_POD3_ALL
