tenant,context,name,description,bd_type,bd_gateway_ip,l3_out,subnet_type,l2_unknown_unicast,l3_unknown_multicast,multi_dest_flood,arp_flood,unicast_routing,igmp_snoop,monitoring_policy
TEN_ADMINISTRATION,VRF_POD1_DEFAULT,BD_POD1_VLAN225, srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN600,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN601,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN602,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN603,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN604,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN605,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN606,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN607,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN608,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN609,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN610,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN611,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN612,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN613,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN614,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN615,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN616,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN617,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN618,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN619,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN620,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
TEN_INET,VRF_POD2_DEFAULT,BD_POD2_VLAN621,srv_description,L2,,,,flood,flood,bd-flood,yes,no,default,default
