name,type,vlan_pool,Comments
L3DOM_POD2,external_l3,VLANP_L3OUT,
L3DOM_POD3,external_l3,VLANP_L3OUT,
L3DOM_POD5,external_l3,VLANP_L3OUT,
L3DOM_POD1,external_l3,VLANP_L3OUT,
L3DOM_MPOD,external_l3,VLANP_MPOD,
PHYSDOM_POD2,physical,VLANP_POD2_STATIC,
PHYSDOM_POD2_MGMT,physical,VLANP_POD2_STATIC,
PHYSDOM_POD3,physical,VLANP_POD3_STATIC,
PHYSDOM_POD3_MGMT,physical,VLANP_POD3_STATIC,
PHYSDOM_POD5,physical,VLANP_POD5_STATIC,
PHYSDOM_POD5_MGMT,physical,VLANP_POD5_STATIC,
PHYSDOM_POD1,physical,VLANP_POD1_STATIC,
PHYSDOM_POD1_MGMT,physical,VLANP_POD1_STATIC,
